Date,Papel,Abertura,Alta,Baixa,Fechamento,Volume
2022-01-31,PETR4,21.70772301122193,22.041687980625344,21.420512933698955,21.607532501220703,62450300
2022-02-01,PETR4,21.607531551398676,22.255424378905445,21.340361116390504,22.04168701171875,57315200
2022-02-02,PETR4,22.31553798681311,22.36897360213993,21.614212097326032,21.721080780029297,36271700
2022-02-03,PETR4,21.607532722513273,21.988252587696252,21.119945441920002,21.420513153076172,51087800
2022-02-04,PETR4,21.647608360630436,22.195310685004515,21.293605048400146,21.794553756713867,59346800
2022-02-07,PETR4,21.741117959001855,21.89474153182772,21.460588621132985,21.473947525024414,48868100
2022-02-08,PETR4,21.30696301786768,21.340360276410546,20.879488300320162,21.260208129882812,62590000
2022-02-09,PETR4,21.20009659596223,21.83462928814282,21.13998279815903,21.340362548828125,50960500
2022-02-10,PETR4,21.57413662384352,21.974896117940773,21.333682710950534,21.667646408081055,49534600
2022-02-11,PETR4,21.888063408940372,22.649503097015405,21.79455362941542,22.549312591552734,88013400
2022-02-14,PETR4,22.616107141514394,22.669540209335867,21.921459424182434,22.04168701171875,55687000
2022-02-15,PETR4,21.81459022507601,21.827949128703285,21.30028390120239,21.69436264038086,65689000
2022-02-16,PETR4,21.92814210431446,22.50924046389253,21.88806538891401,21.99493408203125,65811600
2022-02-17,PETR4,21.94149802371453,22.235388834886116,21.741119546611543,21.90810203552246,43255200
2022-02-18,PETR4,21.75447694682093,22.101800805486906,21.5540984835772,22.04168701171875,60304700
2022-02-21,PETR4,22.075083078488408,22.709617004377264,22.041687092483816,22.609426498413086,51263800
2022-02-22,PETR4,22.85656146795352,23.16380860338292,22.1819508576082,22.53595542907715,80206700
2022-02-23,PETR4,22.829845758766343,23.110375113078078,22.576031665852963,22.856563568115234,86530100
2022-02-24,PETR4,23.243962397705072,23.571249203417562,21.82795157769832,22.302181243896484,139674100
2022-02-25,PETR4,22.342254786426672,22.70961570739746,21.974893865455883,22.70961570739746,86189100
2022-03-02,PETR4,23.5512080455747,23.57124767594052,22.97010972397515,23.157129287719727,58071800
2022-03-03,PETR4,23.257320684493713,23.330793386758458,22.8164870188558,22.869922637939453,69237400
2022-03-04,PETR4,22.76305323495981,23.163810173736373,22.58939002632628,22.86324119567871,55418000
2022-03-07,PETR4,23.0435827673566,23.110374741704973,21.126623292537538,21.240171432495117,110954100
2022-03-08,PETR4,21.373758313654616,22.021651177881445,21.046472792353814,21.681005477905273,111633500
2022-03-09,PETR4,21.774514179798583,21.921459576240117,21.200095319993697,21.747798919677734,87779300
2022-03-10,PETR4,21.77451474349946,23.110374606240544,21.72108167392407,22.509239196777344,136437700
2022-03-11,PETR4,22.64950533064972,22.963433233971127,21.420514075799677,21.701045989990234,92153700
2022-03-14,PETR4,21.660968594096683,21.968215761173802,21.053152438378653,21.286928176879883,52274100
2022-03-15,PETR4,20.79933768961705,21.066510681787474,20.35182458389941,20.772621154785156,66272000
2022-03-16,PETR4,21.039794481482975,21.066512292332703,20.285034160632893,20.592281341552734,72034900
2022-03-17,PETR4,20.872809575995955,20.9729988071657,19.703932239740183,20.04457664489746,178319300
2022-03-18,PETR4,20.098011521832806,20.585600060762626,19.94438794501523,20.445335388183594,93097100
2022-03-21,PETR4,20.645714492307672,21.43387203102519,20.46537310145361,21.213455200195312,67700800
2022-03-22,PETR4,21.36707889357173,21.440550321582684,20.93960413432518,21.119945526123047,56128600
2022-03-23,PETR4,21.327003203818784,21.687685983193827,21.166700170977187,21.407154083251953,52956100
2022-03-24,PETR4,21.407153974950376,21.774514930773606,21.15334115939573,21.654287338256836,49402800
2022-03-25,PETR4,21.473948770935774,21.741119220414355,21.32032391522145,21.57413673400879,51780100
2022-03-28,PETR4,21.413834892585324,21.4271937972011,20.692469331036666,21.106586456298828,68610500
2022-03-29,PETR4,21.460589866269263,21.8813838974869,21.32032391522145,21.57413673400879,93809000
2022-03-30,PETR4,21.70772259925295,22.035009384155273,21.627571721543376,22.035009384155273,69648400
2022-03-31,PETR4,21.754477497405773,22.42240742375646,21.70772260639726,22.342256546020508,94269500
2022-04-01,PETR4,22.409047392886805,22.569351688250062,21.98157266918523,22.048364639282227,72545400
2022-04-04,PETR4,21.974895085506198,21.974895085506198,21.540739624286157,21.84130859375,56053000
2022-04-05,PETR4,21.814590109608663,22.081763084839334,21.634248733520508,21.634248733520508,45847200
2022-04-06,PETR4,21.774515707253162,21.894743304057247,21.400476559818763,21.614213943481445,56947100
2022-04-07,PETR4,21.801232819819468,22.749694658939948,21.707723035952064,22.73633575439453,118469400
2022-04-08,PETR4,22.756372344013826,22.98346862046278,22.609426945149664,22.849882125854492,60772700
2022-04-11,PETR4,22.642825860308456,22.776409809211348,22.56267243342612,22.67622184753418,48125400
2022-04-12,PETR4,22.97678998831481,23.163809548300843,22.576030512408494,22.609426498413086,68522800
2022-04-13,PETR4,22.956751256103068,23.24396133328498,22.77640986708532,23.0903377532959,101438800
2022-04-14,PETR4,23.090521347840806,23.43395581136842,22.76900737309173,22.84938621520996,119382100
2022-04-18,PETR4,22.769006562794434,22.937070141493507,22.264814432973406,22.447492599487305,76350600
2022-04-19,PETR4,22.769005196837217,23.382803910998835,22.739777416684802,23.12705421447754,88494100
2022-04-20,PETR4,23.127055291319177,23.346269924426093,22.893227464317498,23.236661911010742,34694700
2022-04-22,PETR4,22.688626876088613,22.871305035779255,22.155206984285627,22.330577850341797,74560900
2022-04-25,PETR4,21.89945785560091,22.242893696798365,21.585252583430766,22.001758575439453,66413900
2022-04-26,PETR4,22.001757872992208,22.345192309501087,21.841000201402895,21.965221405029297,48764100
2022-04-27,PETR4,22.191743325228103,22.330577722315923,21.884843962958385,21.965221405029297,41881300
2022-04-28,PETR4,22.250200154651917,22.374421357577145,22.10405707107269,22.111364364624023,43298500
2022-04-29,PETR4,22.469412896939367,23.08321160464634,22.125978469848633,22.125978469848633,76243900
2022-05-02,PETR4,22.04560077832744,22.16251469121179,21.431802038822713,21.90676498413086,72456200
2022-05-03,PETR4,22.009067181408216,22.206358551574017,21.789852534733953,22.10405921936035,52531000
2022-05-04,PETR4,22.359807155381937,23.507024388215328,22.21366406928696,23.4339542388916,109417000
2022-05-05,PETR4,23.243970221809505,23.74816236691908,22.666707922857718,23.390111923217773,99439900
2022-05-06,PETR4,23.886994402151274,24.20120104987701,23.309732160523282,24.157360076904297,129570200
2022-05-09,PETR4,23.894305134972072,24.14274755706154,23.426649466908994,23.499719619750977,92314500
